person,picture_name,keith_emotion,keith_emotion_strength
keith,keith(332).jpg,angry,0.74
keith,keith(85).jpg,neutral,0.63
keith,keith(157).jpg,neutral,0.45
keith,keith(443).jpg,sad,0.55
keith,keith(307).jpg,sad,0.25
keith,keith(368).jpg,neutral,0.44
keith,iu20.png,happy,0.96
keith,keith(12).jpg,happy,0.82
keith,keith(140).jpg,angry,0.72
keith,keith(60).jpg,happy,0.93
keith,0_JS219273266.png,happy,1
keith,keith(197).jpg,angry,0.42
keith,keith(93).jpg,neutral,0.39
keith,unknown2.png,angry,0.7
keith,0_Sir-Keir-Starmer-And-Angela-Rayner-Campaign-In-County-Durham.png,angry,0.3
keith,keith(248).jpg,angry,0.45
keith,keith(210).jpg,angry,0.74
keith,iu3.png,neutral,0.74
keith,iu60.png,angry,0.48
keith,keith(56).jpg,angry,0.7
keith,keith(370).jpg,angry,0.5
keith,keith(189).jpg,angry,0.37
keith,keith(295).jpg,happy,0.62
keith,keith(446).jpg,angry,0.55
keith,file-20210504-22-1yoggb9.png,neutral,0.4
keith,3501.png,happy,0.96
keith,keith(128).jpg,angry,0.32
keith,images.png,neutral,0.69
keith,keith(301).jpg,neutral,0.75
keith,keith(391).jpg,angry,0.83
keith,PRI_111539708-e1576664005754.png,happy,0.99
keith,keith(150).jpg,angry,0.67
keith,HJYUBEEJJJC6THIDW33LJCDZJQ.png,angry,0.31
keith,keith(431).jpg,angry,0.38
keith,keith(267).jpg,angry,0.54
keith,keith(407).jpg,happy,0.74
keith,leader-of-the-labour-party-sir-keir-starmer-visits-a-construction-at-picture-id1252340443.png,sad,0.56
keith,keith(177).jpg,sad,0.47
keith,keith(113).jpg,angry,0.68
keith,keith(108).jpg,angry,0.29
keith,keith(196).jpg,neutral,0.34
keith,keith(54).jpg,angry,0.27
keith,keith(233).jpg,neutral,0.75
keith,keith(137).jpg,neutral,0.44
keith,keith(164).jpg,happy,0.55
keith,594aa1b5-a992-4098-9878-87b5bbd2a3a8-1360x2040.png,neutral,0.72
keith,EyMeImfWEAArlNu.png,neutral,0.45
keith,SEI_77569805-640x360.png,sad,0.61
keith,iu55.png,neutral,0.64
keith,keith(144).jpg,neutral,0.68
keith,iu41.png,neutral,0.4
keith,0a8722c24ffce4720dd6dd8600fecae3.png,happy,0.45
keith,keith(14).jpg,happy,0.47
keith,gettyimages-1311928710-93113084-read-only-.png,sad,0.3
keith,keith(465).jpg,sad,0.51
keith,UQHMFOORBFBC3HOFKJE7FJMBKU.png,fear,0.5
keith,keith(73).jpg,happy,0.88
keith,iu12.png,angry,0.46
keith,keith(152).jpg,angry,0.41
keith,keith(67).jpg,happy,0.92
keith,keith(82).jpg,angry,0.77
keith,keith(294).jpg,angry,0.63
keith,keith(251).jpg,neutral,0.47
keith,iu49.png,angry,0.45
keith,Keir-Starmer2.png,sad,0.66
keith,keith(18).jpg,happy,1
keith,b25lY21zOmYxMmUyMDU3LWE1MjQtNDNhYi04ZGZlLWNkMDY0YmQxNjU0ZDoyMmVhYzliMy1hY2JiLTQxMzQtOGExZS04Y2VjZGJk.png,sad,0.66
keith,maxresdefault.png,sad,0.39
keith,keith(396).jpg,sad,0.49
keith,PRI_141360565.png,neutral,0.9
keith,keith(216).jpg,happy,0.81
keith,keith(256).jpg,neutral,0.58
keith,PRI161336388.png,neutral,0.49
keith,keith(77).jpg,neutral,0.73
keith,keith(394).jpg,neutral,0.55
keith,keith(398).jpg,neutral,0.38
keith,keith(154).jpg,neutral,0.47
keith,merlin_184756404_fa4eed8b-93cd-4178-b2a1-5846ec56ff0d-articleLarge.png,happy,0.62
keith,keith(70).jpg,neutral,0.44
keith,12574774.png,happy,0.73
keith,keith(358).jpg,neutral,0.62
keith,newFile-2.png,sad,0.55
keith,iu22.png,sad,0.29
keith,iu50.png,sad,0.32
keith,keith(186).jpg,happy,0.83
keith,keith(373).jpg,angry,0.68
keith,keith(312).jpg,neutral,0.52
keith,keith(410).jpg,happy,0.36
keith,Kier-Starmer.png,surprise,0.4
keith,keith(58).jpg,angry,0.52
keith,keith(112).jpg,happy,0.99
keith,keith(250).jpg,neutral,0.5
keith,keith(357).jpg,sad,0.91
keith,poster.png,angry,0.39
keith,keith(299).jpg,happy,0.89
keith,keith(207).jpg,happy,0.8
keith,keith(98).jpg,happy,0.47
keith,jeremy-corbyn-with-members-of-the-shadow-cabinet-including-diane-abbott-richard-burgon-emily-thornbu.png,happy,0.58
keith,keith(30).jpg,angry,0.54
keith,119775828_1259833337682842_4532482649849946763_o-800x0-c-default.png,angry,0.36
keith,keith(365).jpg,angry,0.64
keith,keith(61).jpg,sad,0.29
keith,keith(400).jpg,angry,0.35
keith,keith(382).jpg,sad,0.44
keith,iu31.png,neutral,0.92
keith,keith(224).jpg,neutral,0.7
keith,keith(127).jpg,happy,0.45
keith,iu67.png,angry,0.58
keith,keith(102).jpg,neutral,0.38
keith,keith(13).jpg,happy,0.99
keith,keir-starmer4.png,angry,0.85
keith,images4.png,happy,0.82
keith,keith(76).jpg,happy,0.37
keith,keith(340).jpg,neutral,0.32
keith,keirwebsiteheader2.png,happy,0.99
keith,keith(118).jpg,neutral,0.45
keith,keith(64).jpg,angry,0.6
keith,2Fmethode2Ftimes2Fprod2Fweb2Fbin2Fbf032ffe-93cf-11eb-af3b-900f1f5fe235.png,angry,0.8
keith,Keir-Starmer-visit-to-Bedford-2.png,happy,0.45
keith,keith(83).jpg,angry,0.86
keith,keith(17).jpg,neutral,0.49
keith,keith(273).jpg,neutral,0.87
keith,keith(192).jpg,neutral,0.76
